entity	entities
snoot	snoots
schnozzle	schnozzles
schnoz	schnozs
conk	conks
hooknose	hooknoses
chin	chins
buccula	bucculas
dimple	dimples
nostril	nostrils
naris	nariss
physiognomy	physiognomies
phiz	phizs
kisser	kissers
smiler	smilers
pudding-face	pudding-faces
lineament	lineaments
temporalis	temporaliss
excrescence	excrescences
rudiment	rudiments
paries	pariess
syncytium	syncytiums
serosa	serosas
synovium	synoviums
albuginea	albugineas
tunica	tunicas
adventitia	adventitias
celom	celoms
coelom	coeloms
celoma	celomas
cornu	cornus
ruga	rugas
tentorium	tentoriums
mastocyte	mastocytes
labrocyte	labrocytes
alpha-adrenoceptor	alpha-adrenoceptors
beta-adrenoceptor	beta-adrenoceptors
rima	rimas
telomere	telomeres
vomer	vomers
zone	zones
zona	zonas
zonule	zonules
zonula	zonulas
mind	minds
psyche	psyches
nous	nouss
noddle	noddles
episteme	epistemes
open	opens
ego	egoes
unconscious	unconsciouss
subconscious	subconsciouss
superego	superegoes
id	ids
astuteness	astutenesses
sense	senses
logic	logics
confidentiality	confidentialities
forethought	forethoughts
indiscreetness	indiscreetnesses
know-how	know-hows
sapience	sapiences
brainpower	brainpowers
mentality	mentalities
wit	wits
comprehensiveness	comprehensivenesses
intellect	intellects
quick-wittedness	quick-wittednesses
genius	genii
coruscation	coruscations
precociousness	precociousnesses
precocity	precocities
acuity	acuities
foxiness	foxinesses
slyness	slynesses
wiliness	wilinesses
shrewdness	shrewdnesses
perspicaciousness	perspicaciousnesses
insightfulness	insightfulnesses
acumen	acumens
knowingness	knowingnesses
wits	witss
aptitude	aptitudes
bilingualism	bilingualisms
instinct	instincts
potentiality	potentialities
perfectibility	perfectibilities
ken	kens
talent	talents
bent	bents
knack	knacks
creativity	creativities
creativeness	creativenesses
wizardry	wizardries
imagination	imaginations
imaginativeness	imaginativenesses
vision	visions
afterworld	afterworlds
Annwfn	Annwfns
Annwn	Annwns
Asgard	Asgards
Atlantis	Atlantiss
Brobdingnag	Brobdingnags
cloud-cuckoo-land	cloud-cuckoo-lands
Cockaigne	Cockaignes
eldorado	eldoradoes
fairyland	fairylands
faerie	faeries
faery	faeries
Heaven	Heavens
Elysium	Elysiums
Eden	Edens
Paradise	Paradises
Valhalla	Valhallas
Walhalla	Walhallas
Hell	Hells
Hades	Hadess
netherworld	netherworlds
Scheol	Scheols
underworld	underworlds
perdition	perditions
Inferno	Infernoes
Houyhnhnms	Houyhnhnmss
Gehenna	Gehennas
Tartarus	Tartaruss
hellfire	hellfires
Laputa	Laputas
Lilliput	Lilliputs
limbo	limboes
Midgard	Midgards
dreamland	dreamlands
dreamworld	dreamworlds
purgatory	purgatories
Ruritania	Ruritanias
Utopia	Utopias
Zion	Zions
Sion	Sions
wonderland	wonderlands
fancy	fancies
fantasy	fantasies
phantasy	phantasies
dream	dreams
paracosm	paracosms
excogitation	excogitations
inventiveness	inventivenesses
innovativeness	innovativenesses
airmanship	airmanships
eristic	eristics
falconry	falconries
homiletics	homileticss
horology	horologies
minstrelsy	minstrelsies
musicianship	musicianships
enology	enologies
oenology	oenologies
taxidermy	taxidermies
telescopy	telescopies
ventriloquism	ventriloquisms
ventriloquy	ventriloquys
skill	skills
science	sciences
virtuosity	virtuosities
bravura	bravuras
acquirement	acquirements
craftsmanship	craftsmanships
workmanship	workmanships
horsemanship	horsemanships
literacy	literacies
marksmanship	marksmanships
mixology	mixologies
artistry	artistries
prowess	prowesses
numeracy	numeracies
oarsmanship	oarsmanships
salesmanship	salesmanships
seamanship	seamanships
boatmanship	boatmanships
showmanship	showmanships
soldiership	soldierships
swordsmanship	swordsmanships
skillfulness	skillfulnesses
expertness	expertnesses
expertise	expertises
professionalism	professionalisms
incoordination	incoordinations
versatility	versatilities
adeptness	adeptnesses
adroitness	adroitnesses
deftness	deftnesses
dexterity	dexterities
sleight	sleights
disfluency	disfluencies
technique	techniques
brushwork	brushworks
musketry	musketries
housecraft	housecrafts
priestcraft	priestcrafts
stagecraft	stagecrafts
tradecraft	tradecrafts
woodcraft	woodcrafts
efficiency	efficiencies
dumbness	dumbnesses
slow-wittedness	slow-wittednesses
backwardness	backwardnesses
subnormality	subnormalities
feeblemindedness	feeblemindednesses
moronity	moronities
idiocy	idiocies
amentia	amentias
vacuousness	vacuousnesses
inaptitude	inaptitudes
talentlessness	talentlessnesses
imperfectibility	imperfectibilities
unskillfulness	unskillfulnesses
maladroitness	maladroitnesses
rustiness	rustinesses
inefficiency	inefficiencies
amateurishness	amateurishnesses
illiteracy	illiteracies
analphabetism	analphabetisms
uncreativeness	uncreativenesses
triteness	tritenesses
faculty	faculties
language	languages
speech	speeches
lexis	lexes
vocabulary	vocabularies
lexicon	lexicons
reason	reasons
understanding	understanding
sensation	sensations
sentiency	sentiencies
will	wills
velleity	velleities
sensibility	sensibilities
hypersensitivity	hypersensitivities
reactivity	reactivities
exteroception	exteroceptions
interoception	interoceptions
photosensitivity	photosensitivities
radiosensitivity	radiosensitivities
stigmatism	stigmatisms
somatosense	somatosenses
twenty-twenty	twenties-twenties
20/20	20/20s
oxyopia	oxyopias
trichromacy	trichromacies
eyesight	eyesights
seeing	seeings
sightedness	sightednesses
night-sight	night-sights
stereoscopy	stereoscopies
gustation	gustations
olfaction	olfactions
kinesthesis	kinestheses
kinaesthesis	kinaestheses
kinesthesia	kinesthesias
kinaesthesia	kinaesthesias
kinesthetics	kinestheticss
kinanesthesia	kinanesthesias
equilibrium	equilibriums
proprioception	proprioceptions
somesthesia	somesthesias
somesthesis	somestheses
somaesthesia	somaesthesias
somaesthesis	somaestheses
somatesthesia	somatesthesias
somataesthesis	somataestheses
pedagogics	pedagogicss
methodology	methodologies
mnemonics	mnemonicss
organon	organa
antialiasing	antialiasings
immunofluorescence	immunofluorescences
photomechanics	photomechanicss
technicolor	technicolors
tradition	traditions
normal	normals
formula	formulae
mores	moress
protocol	protocols
wont	wonts
Hadith	Hadiths
levirate	levirates
Anglomania	Anglomanias
balletomania	balletomanias
concern	concerns
interestedness	interestednesses
affair	affairs
least	leasts
amnesia	amnesias
blackout	blackouts
paramnesia	paramnesias
forgetfulness	forgetfulnesses
obliviousness	obliviousnesses
oblivion	oblivions
consciousness	consciousnesses
self	selves
anima	animas
awareness	awarenesses
cognizance	cognizances
cognisance	cognisances
incognizance	incognizances
self-awareness	self-awarenesses
self-consciousness	self-consciousnesses
unselfconsciousness	unselfconsciousnesses
esthesia	esthesias
aesthesia	aesthesias
waking	wakings
wakefulness	wakefulnesses
unconsciousness	unconsciousnesses
unknowingness	unknowingnesses
unawareness	unawarenesses
grogginess	grogginesses
stupor	stupors
semiconsciousness	semiconsciousnesses
coma	comas
comatoseness	comatosenesses
electrosleep	electrosleeps
semicoma	semicomas
hebetude	hebetudes
trance	trances
semitrance	semitrances
narcosis	narcoses
subconsciousness	subconsciousnesses
wonder	wonders
inquisitiveness	inquisitivenesses
nosiness	nosinesses
prying	pryings
snoopiness	snoopinesses
confusedness	confusednesses
disorientation	disorientations
daze	dazes
fog	fogs
haze	hazes
half-cock	half-cocks
bewilderment	bewilderments
puzzlement	puzzlements
befuddlement	befuddlements
bafflement	bafflements
bemusement	bemusements
perplexity	perplexities
mystery	mysteries
enigma	enigmata
secret	secrets
tangle	tangles
snarl	snarls
dilemma	dilemmas
quandary	quandaries
problem	problems
facer	facers
kink	kinks
pisser	pissers
deterrent	deterrents
bind	binds
hang-up	hang-ups
snag	snags
stymie	stymies
stymy	stymies
determinant	determinants
determiner	determiners
determinative	determinatives
imponderable	imponderables
pestilence	pestilences
canker	cankers
sweetener	sweeteners
mismatch	mismatches
substitute	substitutes
ersatz	ersatzs
successor	successors
succedaneum	succedaneums
assurance	assurances
self-assurance	self-assurances
confidence	confidences
self-confidence	self-confidences
certitude	certitudes
cocksureness	cocksurenesses
overconfidence	overconfidences
reliance	reliances
incertitude	incertitudes
dubiety	dubieties
misgiving	misgivings
incredulity	incredulities
disbelief	disbeliefs
skepticism	skepticisms
peradventure	peradventures
suspense	suspenses
absorption	absorptions
obsession	obsessions
abstractedness	abstractednesses
reverie	reveries
revery	reveries
absentmindedness	absentmindednesses
heed	heeds
clock-watching	clock-watchings
notice	notices
advertence	advertences
advertency	advertencies
focussing	focussings
particularism	particularisms
jealousy	jealousies
inattention	inattentions
pretermission	pretermissions
exception	exceptions
elision	elisions
intuition	intuitions
sprachgefuhl	sprachgefuhls
gnosis	gnoses
insight	insights
apperception	apperceptions
remark	remarks
beholding	beholdings
melody	melodies
esthesis	estheses
aesthesis	aestheses
limen	limens
jnd	jnds
musk	musks
incense	incenses
malodor	malodors
malodour	malodours
stench	stenches
stink	stinks
reek	reeks
fetor	fetors
foetor	foetors
mephitis	mephitis
niff	niffs
pong	pongs
relish	relishes
flavor	flavors
flavour	flavours
savor	savors
savour	savours
vanilla	vanillas
acidulousness	acidulousnesses
salt	salts
astringence	astringences
euphony	euphonies
fundamental	fundamentals
overtone	overtones
partial	partials
dub	dubs
synesthesia	synesthesias
synaesthesia	synaesthesias
chromesthesia	chromesthesias
chromaesthesia	chromaesthesias
tactility	tactilities
prickling	pricklings
tingle	tingles
tingling	tinglings
creepiness	creepinesses
itch	itches
itchiness	itchinesses
itching	itchings
pruritus	prurituss
topognosia	topognosias
topognosis	topognoses
urtication	urtications
pain	pains
mittelschmerz	mittelschmerzs
twinge	twinges
believing	believings
doublethink	doublethinks
equidistribution	equidistributions
topology	topologies
star	stars
chunking	chunkings
constellation	constellations
pigeonholing	pigeonholings
criticism	criticisms
critique	critiques
examen	examens
roast	roasts
self-criticism	self-criticisms
attribution	attributions
ascription	ascriptions
zoomorphism	zoomorphisms
animatism	animatisms
imputation	imputations
cross-classification	cross-classifications
cross-division	cross-divisions
subsumption	subsumptions
valuation	valuations
overvaluation	overvaluations
undervaluation	undervaluations
pricing	pricings
reevaluation	reevaluations
percentile	percentiles
centile	centiles
decile	deciles
quartile	quartiles
countercheck	counterchecks
bioassay	bioassays
bio-assay	bio-assays
immunoassay	immunoassays
radioimmunoassay	radioimmunoassays
biopsy	biopsies
Wassermann	Wassermanns
RAIU	RAIUs
reappraisal	reappraisals
revaluation	revaluations
reassessment	reassessments
underevaluation	underevaluations
secernment	secernments
contradistinction	contradistinctions
demarcation	demarcations
Rubicon	Rubicons
hairsplitting	hairsplittings
word-splitting	word-splittings
individualization	individualizations
individualisation	individualisations
connoisseurship	connoisseurships
vogue	vogues
trend	trends
fad	fads
cult	cults
rage	rages
retro	retroes
counterculture	countercultures
letters	letterss
learning	learnings
conditioning	conditionings
digestion	digestions
internalization	internalizations
internalisation	internalisations
introjection	introjections
imprinting	imprintings
memorization	memorizations
memorisation	memorisations
rote	rotes
assimilation	assimilations
carry-over	carries-over
generalization	generalizations
generalisation	generalisations
self-education	self-educations
self-cultivation	self-cultivations
experience	experiences
familiarization	familiarizations
familiarisation	familiarisations
CER	CERs
remembering	rememberings
STM	STMs
LTM	LTMs
recollection	recollections
reminiscence	reminiscences
remembrance	remembrances
anamnesis	anamneses
colligation	colligations
crossroads	crossroadss
retrospection	retrospections
symbol	symbols
exemplification	exemplifications
interpreting	interpretings
depicting	depictings
portraying	portrayings
anthropomorphism	anthropomorphisms
theanthropism	theanthropisms
imagery	imageries
envisioning	envisionings
dreaming	dreamings
nightmare	nightmares
chimera	chimeras
daydream	daydreams
daydreaming	daydreamings
oneirism	oneirisms
woolgathering	woolgatherings
evocation	evocations
thinking	thinkings
thought	thoughts
cerebration	cerebrations
intellection	intellections
mentation	mentations
crystallization	crystallizations
gestation	gestations
reasoning	reasonings
argumentation	argumentations
argument	arguments
conjecture	conjectures
synthesis	syntheses
inference	inferences
illation	illations
prediction	predictions
anticipation	anticipations
prevision	previsions
prophecy	prophecies
prognostication	prognostications
vaticination	vaticinations
retrovision	retrovisions
prefiguration	prefigurations
foreshadowing	foreshadowings
divination	divinations
foretelling	foretellings
soothsaying	soothsayings
arithmancy	arithmancies
dowse	dowses
dowsing	dowsings
rhabdomancy	rhabdomancies
geomancy	geomancies
hydromancy	hydromancies
lithomancy	lithomancies
necromancy	necromancies
oneiromancy	oneiromancies
onomancy	onomancies
palmistry	palmistries
chiromancy	chiromancies
chirology	chirologies
pyromancy	pyromancies
astrology	astrologies
horoscopy	horoscopies
alchemy	alchemies
pseudoscience	pseudosciences
syllogism	syllogisms
theorization	theorizations
theorisation	theorisations
ideology	ideologies
supposition	suppositions
supposal	supposals
presupposition	presuppositions
corollary	corollaries
entailment	entailments
implication	implications
extrapolation	extrapolations
reductionism	reductionisms
resolving	resolvings
factorization	factorizations
factorisation	factorisations
factoring	factorings
diagonalization	diagonalizations
diagonalisation	diagonalisations
ratiocination	ratiocinations
cogitation	cogitations
lucubration	lucubrations
mysticism	mysticisms
ideation	ideations
weighing	weighings
advisement	advisements
musing	musings
meditation	meditations
speculation	speculations
think	thinks
introspection	introspections
self-contemplation	self-contemplations
self-examination	self-examinations
soul-searching	soul-searchings
omphaloskepsis	omphaloskepses
navel-gazing	navel-gazings
retrospect	retrospects
deciding	decidings
eclecticism	eclecticisms
groupthink	groupthinks
judging	judgings
prejudgment	prejudgments
prejudgement	prejudgements
reconsideration	reconsiderations
rethink	rethinks
cull	culls
reject	rejects
favorite	favorites
favourite	favourites
alternative	alternatives
druthers	drutherss
wish	wishes
possibility	possibilities
possible	possibles
impossibility	impossibilities
impossible	impossibles
explanation	explanations
rationale	rationales
principle	principles
basis	bases
collusion	collusions
prearrangement	prearrangements
premeditation	premeditations
condition	conditions
testament	testaments
figuring	figurings
digitization	digitizations
digitisation	digitisations
idea	ideas
guess	guesses
guesswork	guessworks
guessing	guessings
guesstimate	guesstimates
guestimate	guestimates
overestimate	overestimates
overestimation	overestimations
overrating	overratings
overreckoning	overreckonings
underestimate	underestimates
underestimation	underestimations
underrating	underratings
underreckoning	underreckonings
knowing	knowings
know	knows
farsightedness	farsightednesses
prospicience	prospiciences
savvy	savvies
comprehension	comprehensions
incomprehension	incomprehensions
self-knowledge	self-knowledge
smattering	smatterings
hindsight	hindsights
brainstorm	brainstorms
brainwave	brainwaves
revelation	revelations
speed-reading	speed-readings
otherworld	otherworlds
living	livings
reliving	relivings
re-experiencing	re-experiencings
pabulum	pabulums
antipathy	antipathies
bugbear	bugbears
hobgoblin	hobgoblins
execration	execrations
crosshairs	crosshairss
cynosure	cynosures
eye-catcher	eye-catchers
hallucination	hallucinations
infatuation	infatuations
noumenon	noumena
thing-in-itself	things-in-itself
reminder	reminders
memento	mementoes
universe	universes
topic	topics
quodlibet	quodlibets
datum	data
indication	indications
acquaintance	acquaintances
conversance	conversances
conversancy	conversancies
fact	facts
detail	details
particular	particulars
general	generals
verity	verities
minutia	minutias
technicality	technicalities
instance	instances
representative	representatives
apology	apologies
excuse	excuses
precedent	precedents
quintessence	quintessences
sample	samples
coupon	coupons
circumstance	circumstances
descriptor	descriptors
evidence	evidences
reductio	reductios
verification	verifications
checksum	checksums
confutation	confutations
counterexample	counterexamples
elicitation	elicitations
stimulus	stimuluss
turn-on	turns-on
reinforcer	reinforcers
bonus	bonuss
fillip	fillips
joy	joys
delight	delights
bother	bothers
botheration	botherations
nuisance	nuisances
irritant	irritants
thorn	thorns
plague	plagues
worry	worries
headache	headaches
bugaboo	bugaboos
onus	onuss
fardel	fardels
grief	griefs
sorrow	sorrows
taproot	taproots
muse	muses
mother	mothers
afflatus	afflatuss
concept	concepts
construct	constructs
conceptuality	conceptualities
mumpsimus	mumpsimuss
self-absorption	self-absorptions
category	categories
kind	kinds
breed	breeds
rubric	rubrics
description	descriptions
variant	variants
edition	editions
antitype	antitypes
Bauhaus	Bauhauss
Gothic	Gothics
Romanesque	Romanesques
English-Gothic	English-Gothics
Moorish	Moorishes
species	species
genus	genera
like	likes
ilk	ilks
metarule	metarules
algorithm	algorithms
heuristic	heuristics
recursion	recursions
guidepost	guideposts
guideline	guidelines
invariant	invariants
facet	facets
attractor	attractors
attracter	attracters
badge	badges
excellency	excellencies
external	externals
downside	downsides
department	departments
enhancer	enhancers
abstract	abstracts
absolute	absolutes
teacher	teachers
quantum	quanta
eigenvalue	eigenvalues
average	averages
operand	operands
variable	variables
arity	arities
correlate	correlates
correlative	correlatives
constant	constants
invariable	invariables
parameter	parameters
factorial	factorials
multiple	multiples
quadruple	quadruples
lcm	lcms
subtotal	subtotals
polynomial	polynomials
multinomial	multinomials
biquadratic	biquadratics
quadratic	quadratics
quantic	quantics
series	series
proportional	proportionals
infinitesimal	infinitesimals
variate	variates
scalar	scalars
resultant	resultants
McGuffin	McGuffins
MacGuffin	MacGuffins
metacenter	metacenters
metacentre	metacentres
vertex	vertices
leaven	leavens
leavening	leavenings
one	ones
composite	composites
syndrome	syndromes
dictate	dictates
fundamentals	fundamentalss
basics	basicss
bedrock	bedrocks
insurrectionism	insurrectionisms
alphabet	alphabets
ABC	ABCs
ABC's	ABCs'
ABCs	ABCss
hypothesis	hypotheses
theory	theories
hypothetical	hypotheticals
gemmule	gemmules
M-theory	M-theories
outline	outlines
schema	schemata
scheme	schemes
prerequisite	prerequisites
requirement	requirements
precondition	preconditions
given	givens
constatation	constatations
misconception	misconceptions
fallacy	fallacies
petitio	petitios
sophism	sophisms
sophistry	sophistries
paralogism	paralogisms
self-deception	self-deceptions
self-deceit	self-deceits
misunderstanding	misunderstandings
misapprehension	misapprehensions
will-o'-the-wisp	will-o'-the-wisps
autism	autisms
phantom	phantoms
phantasm	phantasms
phantasma	phantasmas
fantasm	fantasms
UFO	UFOs
ghost	ghosts
spook	spooks
wraith	wraiths
specter	specters
spectre	spectres
Superfund	Superfunds
policy	policies
activism	activisms
bail	bails
tactic	tactics
tactics	tacticss
strategy	strategies
itinerary	itineraries
wangle	wangles
wangling	wanglings
counterterrorism	counterterrorisms
playbook	playbooks
plot	plots
counterplot	counterplots
counterplan	counterplans
intrigue	intrigues
machination	machinations
conspiracy	conspiracies
cabal	cabals
regimen	regimens
regime	regimes
biofeedback	biofeedbacks
moneymaker	moneymakers
money-spinner	money-spinners
agenda	agendas
docket	dockets
schedule	schedules
menu	menus
fare	fares
401-k	401-ks
IRA	IRAs
ESOP	ESOPs
figment	figments
shahadah	shahadahs
salat	salats
salaat	salaats
salah	salahs
salaah	salaahs
sawm	sawms
zakat	zakats
hajj	hajjs
haj	hajs
hadj	hadjs
yang	yangs
yin	yins
inkling	inklings
intimation	intimations
glimmering	glimmerings
glimmer	glimmers
belief	beliefs
theorem	theorems
prescience	presciences
whim	whims
meaning	meanings
theme	themes
topos	toposs
semantics	semanticss
kernel	kernels
gist	gists
meat	meat
nub	nubs
pith	piths
nitty-gritty	nitty-gritties
hypostasis	hypostases
quiddity	quiddities
haecceity	haecceities
purport	purports
undercurrent	undercurrents
denotation	denotations
connotation	connotations
ideal	ideals
introject	introjects
paragon	paragons
criterion	criteria
exemplar	exemplars
beaut	beauts
keynote	keynotes
abstrusity	abstrusities
instantiation	instantiations
stereotype	stereotypes
thought-image	thought-images
phantasmagoria	phantasmagorias
soubrette	soubrettes
heavy	heavies
hero	heroes
ingenue	ingenues
psychosexuality	psychosexualities
percept	percepts
fractal	fractals
gestalt	gestalts
vista	vistas
tableau	tableaux
engram	engrams
confabulation	confabulations
afterimage	afterimages
aftersensation	aftersensations
aftertaste	aftertastes
visualization	visualizations
visualisation	visualisations
lodestar	lodestars
loadstar	loadstars
prototype	prototypes
paradigm	paradigms
epitome	epitomes
concentrate	concentrates
holotype	holotypes
microcosm	microcosms
archetype	archetypes
template	templates
templet	templets
prodigy	prodigies
three-D	three-Ds
3-D	3-Ds
3D	3Ds
mirage	mirages
blur	blurs
unrealism	unrealisms
concretism	concretisms
apophatism	apophatisms
cataphatism	cataphatisms
doctrine	doctrines
philosophy	philosophies
ism	isms
expectation	expectations
geneticism	geneticisms
meliorism	meliorisms
sentiment	sentiments
persuasion	persuasions
autotelism	autotelisms
originalism	originalisms
pacifism	pacifisms
pacificism	pacificisms
predestinarianism	predestinarianisms
religion	religions
cultus	cultuss
quietism	quietisms
Sufism	Sufisms
eyes	eyess
preconception	preconceptions
prepossession	prepossessions
promise	promises
rainbow	rainbows
foretaste	foretastes
expectancy	expectancies
revolutionism	revolutionisms
sacerdotalism	sacerdotalisms
unseen	unseens
suffragism	suffragisms
superstition	superstitions
supremacism	supremacisms
hodgepodge	hodgepodges
jumble	jumbles
theosophy	theosophies
theosophism	theosophisms
anthroposophy	anthroposophies
Kabbalah	Kabbalahs
Kabbala	Kabbalas
Kabala	Kabalas
Cabbalah	Cabbalahs
Cabbala	Cabbalas
Cabala	Cabalas
Qabbalah	Qabbalahs
Qabbala	Qabbalas
Kabbalism	Kabbalisms
Cabalism	Cabalisms
totemism	totemisms
tribalism	tribalisms
values	valuess
mainstream	mainstreams
knightliness	knightlinesses
ethic	ethics
value-system	value-systems
Chartism	Chartisms
Hellenism	Hellenisms
scruple	scruples
abolitionism	abolitionisms
absolutism	absolutisms
amoralism	amoralisms
animism	animisms
antiestablishmentarianism	antiestablishmentarianisms
antiestablishmentism	antiestablishmentisms
contextualism	contextualisms
creationism	creationisms
creed	creeds
credo	credoes
dogma	dogmata
dualism	dualisms
epicureanism	epicureanisms
establishmentarianism	establishmentarianisms
establishmentism	establishmentisms
ethicism	ethicisms
expansionism	expansionisms
experimentalism	experimentalisms
functionalism	functionalisms
Girondism	Girondisms
gospel	gospels
gymnosophy	gymnosophies
mimesis	mimeses
unilateralism	unilateralisms
irredentism	irredentisms
irridentism	irridentisms
literalism	literalisms
democracy	democracies
monism	monisms
multiculturalism	multiculturalisms
nihilism	nihilisms
passivism	passivisms
populism	populisms
predestination	predestinations
foreordination	foreordinations
preordination	preordinations
presentism	presentisms
rationalism	rationalisms
freethinking	freethinkings
reformism	reformisms
humanism	humanisms
humanitarianism	humanitarianisms
egalitarianism	egalitarianisms
equalitarianism	equalitarianisms
mojo	mojoes
occultism	occultisms
reincarnationism	reincarnationisms
secessionism	secessionisms
secularism	secularisms
aesthetic	aesthetics
esthetic	esthetics
Aristotelianism	Aristotelianisms
peripateticism	peripateticisms
conceptualism	conceptualisms
Confucianism	Confucianisms
deconstruction	deconstructions
deconstructionism	deconstructionisms
sensationalism	sensationalisms
existentialism	existentialisms
determinism	determinisms
fatalism	fatalisms
hereditarianism	hereditarianisms
intuitionism	intuitionisms
logicism	logicisms
materialism	materialisms
physicalism	physicalisms
mentalism	mentalisms
nativism	nativisms
naturalism	naturalisms
Neoplatonism	Neoplatonisms
nominalism	nominalisms
operationalism	operationalisms
Platonism	Platonisms
instrumentalism	instrumentalisms
probabilism	probabilisms
relativism	relativisms
Scholasticism	Scholasticisms
semiotics	semioticss
semiology	semiologies
sensualism	sensualisms
solipsism	solipsisms
Stoicism	Stoicisms
Taoism	Taoisms
Daoism	Daoisms
teleology	teleologies
vitalism	vitalisms
conjuring	conjurings
conjury	conjuries
exorcism	exorcisms
summoning	summonings
sorcery	sorceries
theurgy	theurgies
witchcraft	witchcrafts
witchery	witcheries
enchantment	enchantments
bewitchment	bewitchments
diabolism	diabolisms
demonism	demonisms
Satanism	Satanisms
unbelief	unbeliefs
agnosticism	agnosticisms
scepticism	scepticisms
atheism	atheisms
heresy	heresies
iconoclasm	iconoclasms
bourn	bourns
bourne	bournes
end-all	end-alls
destination	destinations
no-goal	no-goals
intent	intents
cross-purpose	cross-purposes
occasions	occasionss
meme	memes
lore	lores
folklore	folklores
eruditeness	eruditenesses
erudition	eruditions
learnedness	learnednesses
scholarship	scholarships
encyclopedism	encyclopedisms
encyclopaedism	encyclopaedisms
enlightenment	enlightenments
centralism	centralisms
moderationism	moderationisms
Thatcherism	Thatcherisms
ultramontanism	ultramontanisms
edification	edifications
satori	satoris
disenchantment	disenchantments
disillusion	disillusions
disillusionment	disillusionments
ignorance	ignorances
dark	darks
ignorantness	ignorantnesses
nescience	nesciences
unknowing	unknowings
inexperience	inexperiences
rawness	rawnesses
unenlightenment	unenlightenments
lateralization	lateralizations
lateralisation	lateralisations
blastogenesis	blastogeneses
preformation	preformations
Comtism	Comtisms
organicism	organicisms
Keynesianism	Keynesianisms
liberalism	liberalisms
Malthusianism	Malthusianisms
monetarism	monetarisms
bailiwick	bailiwicks
communications	communicationss
major	majors
realm	realms
frontier	frontiers
genealogy	genealogies
allometry	allometries
bibliotics	biblioticss
ology	ologies
symbology	symbologies
territory	territories
domain	domains
metaknowledge	metaknowledges
mathematics	mathematics
math	maths
maths	mathss
arithmetic	arithmetics
algorism	algorisms
geometry	geometries
x-axis	x-axes
y-axis	y-axes
z-axis	z-axes
space-time	space-times
coordinate	coordinates
co-ordinate	co-ordinates
abscissa	abscissae
ordinate	ordinates
intercept	intercepts
trigonometry	trigonometries
trig	trigs
algebra	algebras
quadratics	quadraticss
decomposition	decompositions
calculus	calculuss
derivative	derivatives
integral	integrals
sub-interval	sub-intervals
subgroup	subgroups
metamathematics	metamathematicss
statistics	statisticss
statistic	statistics
norm	norms
demographic	demographics
outlier	outliers
median	medians
mean	means
covariance	covariances
subpopulation	subpopulations
multicollinearity	multicollinearities
ANOVA	ANOVAs
correlation	correlations
covariation	covariations
binomial	binomials
bioscience	biosciences
biology	biologies
biometrics	biometricss
biometry	biometries
biostatistics	biostatisticss
craniology	craniologies
dermatoglyphics	dermatoglyphicss
dietetics	dieteticss
macrobiotics	macrobioticss
eugenics	eugenicss
dysgenics	dysgenicss
cacogenics	cacogenicss
euthenics	euthenicss
phrenology	phrenologies
aeromedicine	aeromedicines
allergology	allergologies
anesthesiology	anesthesiologies
angiology	angiologies
bacteriology	bacteriologies
biomedicine	biomedicines
cardiology	cardiologies
dentistry	dentistries
odontology	odontologies
endodontics	endodonticss
endodontia	endodontias
exodontics	exodonticss
exodontia	exodontias
orthodontics	orthodonticss
orthodontia	orthodontias
orthodonture	orthodontures
periodontics	periodonticss
periodontia	periodontias
prosthetics	prostheticss
prosthodontics	prosthodonticss
prosthodontia	prosthodontias
dermatology	dermatologies
endocrinology	endocrinologies
epidemiology	epidemiologies
gastroenterology	gastroenterologies
geriatrics	geriatricss
gerontology	gerontologies
gynecology	gynecologies
gynaecology	gynaecologies
hematology	hematologies
haematology	haematologies
hygiene	hygienes
hygienics	hygienicss
immunology	immunologies
immunochemistry	immunochemistries
chemoimmunology	chemoimmunologies
immunopathology	immunopathologies
nephrology	nephrologies
neurology	neurologies
neuropsychiatry	neuropsychiatries
nosology	nosologies
diagnostics	diagnosticss
obstetrics	obstetricss
OB	OBs
tocology	tocologies
fetology	fetologies
foetology	foetologies
perinatology	perinatologies
oncology	oncologies
ophthalmology	ophthalmologies
otology	otologies
pharmacology	pharmacologies
pharmaceutics	pharmaceuticss
pharmacokinetics	pharmacokineticss
posology	posologies
psychopharmacology	psychopharmacologies
psychiatry	psychiatries
psychopathology	psychopathologies
psychotherapeutics	psychotherapeuticss
morphophysiology	morphophysiologies
neuroanatomy	neuroanatomies
osteology	osteologies
audiology	audiologies
pathology	pathologies
pediatrics	pediatricss
paediatrics	paediatricss
pedology	pedologies
neonatology	neonatologies
podiatry	podiatries
chiropody	chiropodies
proctology	proctologies
rheumatology	rheumatologies
rhinolaryngology	rhinolaryngologies
otorhinolaryngology	otorhinolaryngologies
otolaryngology	otolaryngologies
serology	serologies
orthopedics	orthopedicss
orthopaedics	orthopaedicss
therapeutics	therapeuticss
toxicology	toxicologies
traumatology	traumatologies
urology	urologies
virology	virologies
agronomy	agronomies
agrobiology	agrobiologies
agrology	agrologies
biogeography	biogeographies
botany	botanies
phytology	phytologies
mycology	mycologies
pomology	pomologies
cryobiology	cryobiologies
cryonics	cryonicss
cytology	cytologies
cytogenetics	cytogeneticss
ecology	ecologies
bionomics	bionomicss
embryology	embryologies
exobiology	exobiologies
astrobiology	astrobiologies
forestry	forestries
silviculture	silvicultures
